cid,class,class_ZH
130,lightbulb,电灯泡
131,light-house,灯塔
132,lightning,闪电
133,llama-101,骆驼-101
134,mailbox,邮筒
135,mandolin,曼陀林
136,mars,火星
137,mattress,床垫
138,megaphone,扩音器
139,menorah-101,烛台-101
140,microscope,显微镜
141,microwave,微波
142,minaret,尖塔
143,minotaur,人身牛头怪物
144,motorbikes-101,摩托车-101
145,mountain-bike,山地车
146,mushroom,蘑菇
147,mussels,贻贝
148,necktie,领带
149,octopus,章鱼
150,ostrich,鸵鸟
151,owl,猫头鹰
152,palm-pilot,掌上领航员
153,palm-tree,棕榈树
154,paperclip,曲别针
155,paper-shredder,碎纸机
156,pci-card,pci卡
157,penguin,企鹅
158,people,人
159,pez-dispenser,pez分配器
160,photocopier,复印机
161,picnic-table,野餐桌
162,playing-card,扑克牌
163,porcupine,豪猪
164,pram,婴儿车
165,praying-mantis,螳螂
166,pyramid,金字塔
167,raccoon,浣熊
168,radio-telescope,射电望远镜
169,rainbow,彩虹
170,refrigerator,冰箱
171,revolver-101,左轮手枪101
172,rifle,步枪
173,rotary-phone,旋转式电话
174,roulette-wheel,轮盘赌
175,saddle,车座
176,saturn,土星
177,school-bus,校车
178,scorpion-101,蝎子-101
179,screwdriver,螺丝刀
180,segway,赛格威
181,self-propelled-lawn-mower,自行式割草机
182,sextant,六分仪
183,sheet-music,活页乐谱
184,skateboard,滑板
185,skunk,臭鼬
186,skyscraper,摩天大楼
187,smokestack,烟囱
188,snail,蜗牛
189,snake,蛇
190,sneaker,运动鞋
191,snowmobile,雪地机动车
192,soccer-ball,足球
193,socks,袜子
194,soda-can,汽水罐
195,spaghetti,意大利式细面条
196,speed-boat,快艇
197,spider,蜘蛛；状似蜘蛛的物体；星形轮；十字叉；连接柄；十字头
198,spoon,匙
199,stained-glass,彩色玻璃
200,starfish-101,海星-101
201,steering-wheel,方向盘
202,stirrups,马镫
203,sunflower-101,向日葵-101
204,superman,超人
205,sushi,寿司
206,swan,天鹅
207,swiss-army-knife,瑞士军刀
208,sword,剑
209,syringe,注射器
210,tambourine,铃鼓
211,teapot,茶壶
212,teddy-bear,泰迪熊
213,teepee,同ＴＥＰＥＥ
214,telephone-box,电话亭
215,tennis-ball,网球
216,tennis-court,网球场
217,tennis-racket,网球拍
218,theodolite,经纬仪
219,toaster,祝酒人
220,tomato,番茄
221,tombstone,墓碑
222,top-hat,上流社会的
223,touring-bike,旅行自行车
224,tower-pisa,比萨斜塔
225,traffic-light,交通灯
226,treadmill,踏车
227,triceratops,三角恐龙
228,tricycle,三轮车
229,trilobite-101,三叶虫-101
230,tripod,三脚架
231,t-shirt,t恤
232,tuning-fork,音叉
233,tweezer,镊子
234,umbrella-101,雨伞-101
235,unicorn,独角兽企业
236,vcr,录像机
237,video-projector,视频投影仪
238,washing-machine,洗衣机
239,watch-101,手表-101
240,waterfall,瀑布
241,watermelon,西瓜
242,welding-mask,焊接面罩
243,wheelbarrow,独轮手推车
244,windmill,风车
245,wine-bottle,酒瓶
246,xylophone,木琴
247,yarmulke,学习
248,yo-yo,蠢人
249,zebra,斑马
250,airplanes-101,飞机-101
251,car-side-101,汽车侧-101
252,faces-easy-101,面孔-简单-101
253,greyhound,灰狗
254,tennis-shoes,网球鞋
255,toad,蟾蜍
256,clutter,杂乱
